成都,1号线(五根松-韦家碾),人民北路
徐州,2号线,奔腾大道
武汉,1号线,古田四路
石家庄,1号线,东庄
昆明,1号线(环城南路-昆明南火车站),日新路
济南,2号线,北园
重庆,1号线,陈家桥
南昌,1号线,太子殿
厦门,1号线,天水路
哈尔滨,1号线,交通学院
沈阳,1号线,十三号街
南宁,1号线,西乡塘客运站
合肥,1号线,长淮
福州,1号线,安平
太原,2号线,化章西街
呼和浩特,2号线,新店
上海,1号线,彭浦新村
佛山,佛山2号线,沙岗
长春,2号线,西环城路
长沙,2号线,麓云路
无锡,1号线,文化宫
郑州,1号线,黄河南路
香港,东铁线(羅湖-紅磡),大围
西安,1号线,半坡
宁波,1号线,大卿桥
深圳,1号线/罗宝线,鲤鱼门
北京,1号线八通线,天安门东
南京,1号线,花神庙
青岛,1号线,海泊桥(海慈医疗)
杭州,1号线,下沙西
苏州,1号线,南施街
广州,佛山2号线,花卉世界
天津,1号线,双林
大连,2号线,大连北站
常州,1号线,新天地公园
贵阳,1号线,阅山湖公园
成都,1号线(五根松-韦家碾),火车北站
徐州,2号线,九龙湖
武汉,1号线,古田三路
石家庄,1号线,会展中心
昆明,1号线(环城南路-昆明南火车站),巫家坝
济南,2号线,历山路
重庆,1号线,大学城
南昌,1号线,奥体中心
厦门,1号线,厦门北站
哈尔滨,1号线,桦树街
沈阳,2号线,蒲田路
南宁,1号线,鹏飞路
合肥,1号线,合肥火车站
福州,1号线,梁厝
太原,2号线,西桥
呼和浩特,2号线,百合路
上海,1号线,共康路
佛山,佛山2号线,魁奇路
长春,2号线,和平大街
长沙,2号线,文化艺术中心
无锡,1号线,江南大学
郑州,1号线,农业南路
香港,东铁线(羅湖-紅磡),沙田
西安,1号线,纺织城
宁波,1号线,泽民
深圳,1号线/罗宝线,前海湾
北京,1号线八通线,王府井
南京,1号线,软件大道
青岛,1号线,台东
杭州,1号线,金沙湖
苏州,1号线,星塘街
广州,佛山2号线,登洲
天津,1号线,李楼
大连,2号线,南关岭
常州,1号线,长虹路
贵阳,1号线,老湾塘
成都,1号线(五根松-韦家碾),升仙湖
徐州,2号线,庆云桥
武汉,1号线,古田二路
石家庄,1号线,商务中心
昆明,1号线(环城南路-昆明南火车站),昌宏西路
济南,2号线,七里堡
重庆,1号线,尖顶坡
南昌,1号线,瑶湖西
厦门,1号线,岩内
哈尔滨,1号线,哈尔滨东站
沈阳,2号线,蒲河路
南宁,1号线,南职院
合肥,2号线,南岗
福州,1号线,下洋
呼和浩特,2号线,新城图书馆
上海,1号线,通河新村
佛山,佛山2号线,石梁
长春,2号线,万福街
长沙,2号线,梅溪湖东
无锡,1号线,长广溪
郑州,1号线,东风南路
香港,东铁线(羅湖-紅磡),火炭
西安,2号线,韦曲南
宁波,1号线,望春桥
深圳,1号线/罗宝线,新安
北京,1号线八通线,东单
南京,1号线,天隆寺
青岛,1号线,广饶路
杭州,1号线,高沙路
苏州,1号线,钟南街
广州,佛山2号线,湾华
天津,1号线,高庄子
大连,2号线,体育中心
常州,1号线,延政大道
贵阳,1号线,下麦西
成都,1号线(五根松-韦家碾),韦家碾
徐州,2号线,彭城广场
武汉,1号线,古田一路
石家庄,1号线,园博园
昆明,1号线(环城南路-昆明南火车站),晓东村
济南,2号线,祝甸
重庆,1号线,璧山
南昌,2号线,南路
厦门,2号线,天竺山
哈尔滨,2号线,江北大学城
沈阳,2号线,人杰湖公园
南宁,1号线,石埠
合肥,2号线,桂庄
福州,1号线,三江口
呼和浩特,2号线,东二环路
上海,1号线,呼兰路
佛山,佛山2号线,湾华
长春,2号线,景阳广场
长沙,2号线,望城坡(汽车西站)
无锡,1号线,雪浪
郑州,1号线,郑州东站
香港,东铁线(羅湖-紅磡),大学
西安,2号线,航天城
宁波,1号线,徐家漕长乐
深圳,1号线/罗宝线,宝安中心
北京,1号线八通线,建国门
南京,1号线,安德门
青岛,1号线,观象山(市立医院)
杭州,1号线,文泽路
苏州,2号线,骑河
广州,佛山2号线,石梁
天津,1号线,国家会展中心
大连,2号线,卫生中心
常州,1号线,科教城北
贵阳,1号线,窦官
成都,1号线(科学城-韦家碾),科学城
徐州,2号线,户部山
武汉,1号线,舵落口
石家庄,1号线,福泽
昆明,1号线(环城南路-昆明南火车站),珥季路
